"","Stem_Cells","Organs","Neuro_cells","Ovary_Aorta_Psoas","Fetal_Intestine_Large","Fetal_Intestine_Small","Liver_Pancreas","Foreskin_Keratinocyte","Immune_system"
"ENSG00000000003",0.0649576230541191,0.0332146465870072,0.127914669916894,0.0836296290297198,0.0175000000745058,0.25,0.0473863633273733,0.00418604650469713,0.204296294254837
"ENSG00000000005",0.879333334167798,0.639166668678323,0.732499996821086,0.371111108197106,0.829999983310699,NA,0.683333337306977,0.706666658322016,0.723333322339588
"ENSG00000000419",0.00630769224121021,0.00357692301130066,0.00138461537515888,0.00271794865719783,0.01,0.0155000001192093,0.00261538455692622,0.00630769225267264,0.00476923069128623
"ENSG00000000457",0.0108906249835854,0.00630733361592115,0.00246341764004827,0.00427083329608043,0,0.0223529408959781,0.00398437495459803,0.00999999987451654,0.00431630289226416
"ENSG00000000460",0.0396744186361862,0.018604651012263,0.0113953487016261,0.0181395346082227,0.0394285718245166,0.0611764714121819,0.035116279086228,0.0083720930527116,0.0350387595709442
"ENSG00000000938",0.532988415561253,0.393231707136715,0.336524388707447,0.500081302280106,0.274705882238991,0.213888889385594,0.52012195242796,0.565333335970839,0.278617885675493
"ENSG00000000971",0.801733336299658,0.24833333302134,0.716250000521541,0.081666664323873,0.614999999602636,0.735000004371007,0.142166665072242,0.461666663487752,0.139999997077717
"ENSG00000001036",0.165607842821263,0.118799019527311,0.149117646848454,0.093267973901984,0.132571426672595,0.160714285714286,0.136764705491563,0.167708334202568,0.168823528584409
"ENSG00000001084",0.0525155394694029,0.0365827256369695,0.0333266315856982,0.0296622350104519,0.0673529413693091,0.333750002086163,0.0184567902398147,0.0268571431083339,0.0402584360595103
"ENSG00000001167",0.0101492536935344,0.00345940745491678,0.000932835800045015,0.00353233826657137,0.00666666676600774,0,0.00141791041606842,0.00253968248291621,0.00318407958642167
"ENSG00000001460",0.154830189221451,0.120589622612691,0.143301887235622,0.114968553513476,0.118918919080013,0.125,0.0954716985096344,0.066792452180723,0.138301887520173
"ENSG00000001461",0.0539655169514918,0.0339224136504077,0.0324425281442959,0.0399999999480458,0.0115492956739076,0.0263157894736842,0.0216091948764763,0.00574712643678161,0.0285823756250842
"ENSG00000001497",0.0664073471058236,0.0173989363015689,0.180400000447407,0.105933332542578,0.0436842104322032,0.0666666676600774,0.021399999819696,0.0353124993853271,0.116733332537115
"ENSG00000001561",0.0192413367330612,0.00851694906477706,0.00249999995990577,0.00531073439718976,0.020930232696755,0,0.00618644061861402,0.0062711863952168,0.00548022598196558
"ENSG00000001617",0.0143189653341566,0.00960857993565567,0.00607476627593424,0.0114300827913598,0.0231250002980232,0,0.0139252337339883,0,0.00802510180759425
"ENSG00000001626",0.0563867611963804,0.0538031913023046,0.0356394543368921,0.0375886523422409,0.0290243902766123,0.0407142862677574,0.0894680849098147,0.0344444448749224,0.0712056738582063
