"","E003","E004","E005","E006","E007","E011","E012","E013","E016","E024","E050","E053","E054","E058","E065","E066","E070","E071","E079","E084","E085","E094","E095","E096","E097","E098","E100","E104","E105","E106","E109","E112","E113"
"ENSG00000000003",43.985,37.413,29.459,21.864,55.649,52.94,71.629,61.292,44.28,63.184,5.544,15.933,27.15,10.151,5.605,73.205,20.954,7.645,35.083,53.039,64.971,14.46,3.122,13.463,54.677,13.735,2.435,8.833,4.494,36.012,19.252,11.928,5.637
"ENSG00000000005",1.642,6.498,0,0.157,0.003,0.115,0.087,0.055,1.577,0.726,0,0.051,0.07,0,0,0.191,0,0.018,0.251,0.566,0.336,0,0.07,0,10.67,0.424,0.032,0.524,0.092,0.205,0.134,0.678,0.121
"ENSG00000000419",35.259,58.308,48.208,37.477,45.923,44.959,40.438,41.97,51.515,35.129,37.351,11.078,12.225,44.444,52.753,52.609,15.701,21.769,26.467,29.927,30.095,56.167,32.202,26.051,42.731,19.683,67.684,46.172,33.687,39.226,47.562,61.359,54.866
"ENSG00000000457",2.596,2.345,8.775,2.723,3.7,3.912,5.011,4.158,3.292,3.16,17.602,3.295,4.301,3.933,3.417,4.733,3.349,2.222,5.325,8.497,9.679,5.731,2.622,3.907,7.649,5.455,10.873,2.529,2.811,6.044,4.526,8.791,5.484
"ENSG00000000460",6.649,7.838,7.324,0.83,5.354,5.94,5.704,6.213,7.551,7.705,6.91,3.855,4.401,6.491,1.137,0.942,4.716,1.12,1.487,3.408,3.58,1.25,0.47,1.134,1.69,1.126,0.518,0.717,0.694,1.893,1.952,3.137,1.631
"ENSG00000000938",0.211,0.059,0.009,0.012,0.013,0.012,0.012,0.013,0.094,0.135,5.088,0.056,0.011,0.003,12.977,4.572,0.544,6.421,5.39,1.488,0.787,10.879,3.646,91.639,3.179,4.08,1.168,2.428,4.935,8.702,9.252,26.992,77.711
"ENSG00000000971",0,0.003,0.009,41.909,0.002,0.011,0.018,0.121,0.004,0.002,15.838,0,0,0.058,38.9,566.609,0.544,8.279,59.786,4.428,2.362,11.68,5.925,13.383,143.061,2.264,7.393,56.378,14.76,11.687,21.54,10.673,4.086
"ENSG00000001036",49.337,25.066,25.679,86.255,21.922,33.225,22.268,37.503,35.061,46.317,17.086,29.602,24.595,21.126,23.684,43.631,9.694,12.456,20.23,71.468,105.662,35.581,33.092,32.312,35.341,24.756,9.493,23.452,41.298,41.846,51.012,11.514,17.117
"ENSG00000001084",6.966,10.11,4.609,5.87,6.44,5.431,6.838,3.018,9.897,6.48,11.592,2.875,3.332,13.698,5.399,25.767,1.74,7.165,8.593,13.653,17.715,11.021,3.926,7.957,4.189,4.403,5.083,4.207,3.759,6.183,12.005,8.048,16.529
"ENSG00000001167",13.316,14.576,26.119,13.081,21.587,31.022,30.694,28.347,23.622,19.013,41.301,18.724,21.57,14.208,8.003,6.255,29.836,10.403,8.484,17.581,18.041,8.527,6.127,7.883,16.896,8.921,12.339,7.046,5.839,9.903,8.173,20.717,12.276
"ENSG00000001460",1.761,1.571,1.519,2.242,3.847,1.823,2.722,1.994,1.616,1.954,1.615,0.057,0.096,3.766,0.936,0.298,0.435,2.245,1.607,1.089,1.121,1.462,1.293,3.116,1.506,1.854,0.94,1.29,1.147,3.233,2.001,0.99,0.992
"ENSG00000001461",2.893,1.332,5.536,9.129,3.137,1.956,2.669,4.333,1.34,2.131,8.731,2.195,3.619,8.672,3.204,1.277,2.966,39.126,4.473,5.084,5.342,5.372,6.483,6.879,2.615,5.835,1.766,7.928,4.283,7.573,7.34,4.745,3.643
"ENSG00000001497",12.236,17.598,6.043,4.371,12.236,15.566,17.574,11.005,16.866,14.781,15.585,10.785,13.615,14.983,14.09,8.53,18.472,25.095,10.681,8.815,8.093,8.395,6.432,12.193,17.617,14.107,5.534,5.976,8.635,9.022,9.099,10.313,12.578
"ENSG00000001561",4.946,1.447,1.193,0.14,5.596,4.222,6.999,1.359,3.555,2.288,17.046,0.218,1.586,0.041,14.58,5.919,2.823,15.025,4.878,7.694,9.908,7.614,27.313,8.776,2.235,4.837,23.85,18.313,18.335,7.908,8.288,19.435,7.458
"ENSG00000001617",24.475,13.619,8.106,10.802,37.379,12.714,19.842,14.432,12.198,27.574,0.049,0.569,0.388,86.905,6.82,1.751,7.467,9.49,51.164,3.723,2.475,15.645,10.707,45.181,5.507,8.001,2.517,7.577,15.92,7.109,22.776,14.684,27.751
"ENSG00000001626",0.353,0.048,0.15,0.348,0,0.098,0.099,0.164,0.276,0.556,0.005,0,0,0,2.677,0.596,0.008,0.245,0.484,22.708,23.68,0.331,0.031,8.005,0.008,126.916,0.01,0.01,0.035,19.481,16.08,0.198,0.014
"ENSG00000001629",16.865,15.977,16.93,19.317,14.645,13.284,14.13,15.701,14.767,14.052,19.516,22.851,25.566,18.682,15.329,4.787,17.988,20.666,10.248,19.382,19.785,14.299,7.508,12.757,11.495,10.67,10.383,7.605,6.937,9.794,9.956,25.478,11.269
"ENSG00000001630",113.334,83.412,87.242,92.097,56.898,80.555,28.836,62.789,69.547,47.509,23.286,33.184,25.291,83.79,10.415,50.076,20.851,19.95,21.88,45.946,62.804,23.001,21.792,49.726,20.072,13.31,2.839,15.07,16.13,57.153,72.237,7.668,9.344
"ENSG00000001631",8.01,9.417,6.947,8.242,11.77,8.891,10.778,10.133,9.546,9.043,14.15,7.106,8.033,10.479,7.211,6.381,7.577,10.176,8.773,14.411,15.023,7.706,7.417,10.153,12.954,11.464,11.621,9.252,7.39,6.577,6.894,17.344,11.455
"ENSG00000002016",3.299,2.176,2.232,1.816,6.411,6.317,8.835,7.053,3.844,4.748,7.634,3.67,4.924,2.267,2.412,1.698,8.723,4.907,4.358,6.057,5.886,1.88,2.324,3.365,4.575,9.016,5.12,2.742,3.478,3.752,2.485,6.921,4.59
"ENSG00000002330",7.949,8.646,18.292,27.93,20.003,20.059,14.238,16.105,10.261,10.169,14.56,30.182,26.178,35.16,51.597,15.838,34.181,23.015,35.334,12.242,12.85,91.435,34.137,68.032,40.89,36.571,44.926,74.98,49.328,45.44,28.406,29.078,35.352
"ENSG00000002549",13.107,23.576,18.862,17.905,9.628,9.869,13.607,12.136,21.27,15.582,25.697,17.798,16.191,33.426,25.609,106.39,6.015,20.855,16.66,24.563,23.944,32.75,22.954,18.152,17.928,8.208,23.564,15.372,27.678,53.155,56.302,52.889,48.131
"ENSG00000002586",24.419,13.931,176.45,287.62,152.875,57.509,34.572,140.877,18.042,49.079,123.997,38.284,33.346,60.678,153.691,76.013,53.024,36.954,98.763,43.619,38.373,44.303,105.926,60.664,120.565,102.349,53.162,113.942,130.797,66.847,92.106,170.945,65.601
"ENSG00000002587",0.48,0.77,0.867,0.025,0.017,2.193,0.105,1.773,1.421,0.2,0.078,0.045,0.118,2.948,0.596,0.161,0.56,0.902,3.433,0.608,0.583,1.013,0.479,1.139,32.202,0.386,0.077,0.79,0.769,1.342,2.339,0.775,3.218
