"","X2","X3"
"ENSG00000147896",-0.962523888076212,3.98229919899493e-19
"ENSG00000144852",-0.953275685090717,1.14018937674927e-17
"ENSG00000174564",-0.953040100923441,1.23061052166824e-17
"ENSG00000164122",-0.952144654714568,1.63895137889159e-17
"ENSG00000148377",-0.946312145789977,9.35561201209944e-17
"ENSG00000206422",-0.94604534246036,1.00840160293646e-16
"ENSG00000198821",-0.945274965960314,1.24949191614243e-16
"ENSG00000182676",-0.939901572567269,5.13946159717976e-16
"ENSG00000166682",-0.932800765465978,2.76103121473569e-15
"ENSG00000205420",-0.927260846990357,9.0660771247777e-15
"ENSG00000070190",-0.923080978682751,2.09288728956527e-14
"ENSG00000100652",-0.912565508556806,1.41587004779649e-13
"ENSG00000115956",-0.911789687936134,1.61473874564794e-13
"ENSG00000007933",-0.911591254822643,1.66961873202235e-13
"ENSG00000183091",-0.910000580503075,2.17649454091447e-13
"ENSG00000166143",-0.908885259905808,2.61353766447418e-13
"ENSG00000197893",-0.908664194278007,2.70931700939549e-13
"ENSG00000169876",-0.908662167955054,2.71020983755836e-13
"ENSG00000180745",-0.908020346698085,3.00718726655758e-13
"ENSG00000185905",-0.907618885202982,3.20803773066884e-13
"ENSG00000186081",-0.907318478016843,3.36641118825356e-13
"ENSG00000009724",-0.90414463350985,5.54663748246742e-13
"ENSG00000136286",-0.896763815200218,1.66160916866885e-12
"ENSG00000116833",-0.895455702903334,2.0009338637408e-12
"ENSG00000175003",-0.89440071532276,2.32032736532563e-12
"ENSG00000186517",-0.891761326258944,3.33838368662264e-12
"ENSG00000186807",-0.891434112294119,7.82523484197634e-12
"ENSG00000069122",-0.889187717457241,4.71757807770563e-12
"ENSG00000167208",-0.889151626585441,4.74022430188052e-12
"ENSG00000105483",-0.888119140865909,5.43245784758657e-12
"ENSG00000169347",-0.888053043304139,5.47982099440364e-12
"ENSG00000119431",-0.88505812313088,8.07534276508735e-12
"ENSG00000108878",-0.883492021773493,9.8486625993803e-12
"ENSG00000189325",-0.883460903991207,9.88730364947846e-12
"ENSG00000174429",-0.881434215663201,1.27295523020237e-11
"ENSG00000234906",-0.881038841042635,1.33656051214173e-11
"ENSG00000140107",-0.879046064579272,1.70448243086074e-11
"ENSG00000186847",-0.874851322610121,2.80521140465201e-11
"ENSG00000167286",-0.87297827396255,3.4841688444855e-11
"ENSG00000175097",-0.872508249532871,3.67695995598999e-11
"ENSG00000110934",-0.872487200857666,3.68582055032112e-11
"ENSG00000131187",-0.87240984241454,3.71855545168988e-11
"ENSG00000143851",-0.870125607116178,4.81567510840366e-11
"ENSG00000163126",-0.869569932560004,5.12451537287978e-11
"ENSG00000206075",-0.867813504463019,6.22560422272025e-11
"ENSG00000167780",-0.864924428949304,8.52390181942828e-11
"ENSG00000138347",-0.862985253698196,1.04830376992225e-10
"ENSG00000183918",-0.861294973983606,1.25226951876597e-10
"ENSG00000070019",-0.861130799162192,1.27392337233551e-10
"ENSG00000134242",-0.860007178501618,1.4316873596305e-10
"ENSG00000110876",-0.858298697800533,1.70652779894058e-10
"ENSG00000100628",-0.857030789327991,1.94122124405194e-10
"ENSG00000172000",-0.856796400378919,1.98774987284601e-10
"ENSG00000197971",-0.855040386611053,2.37058877998778e-10
"ENSG00000180209",-0.854670178917794,2.45954928357272e-10
"ENSG00000167549",-0.853342195344655,2.80470793501423e-10
"ENSG00000131142",-0.852826036294732,2.95056101075222e-10
"ENSG00000182533",-0.852133852319226,3.15718096648335e-10
"ENSG00000186306",-0.851149336375962,3.47419155229628e-10
"ENSG00000101076",-0.850356958796976,3.75044826169381e-10
"ENSG00000170465",-0.849976743027592,3.89009824797246e-10
"ENSG00000133561",-0.849487311327924,4.07694413293299e-10
"ENSG00000215704",-0.84904989304506,4.25092234184392e-10
"ENSG00000198812",-0.848877986599039,4.32115626302696e-10
"ENSG00000153930",-0.846923137670664,5.1989809771692e-10
"ENSG00000185479",-0.843905648177979,6.8824039256515e-10
"ENSG00000164049",-0.843891665642352,6.89126096491747e-10
"ENSG00000250424",-0.843866293668548,6.90735939367008e-10
"ENSG00000185482",-0.841816062858148,8.32937794001791e-10
"ENSG00000174990",-0.838238019973293,1.14759962397738e-09
"ENSG00000241119",-0.837619731022497,1.21199442929407e-09
"ENSG00000129744",-0.837265594448912,1.25036507187997e-09
"ENSG00000162511",-0.836829925871674,1.29910865014767e-09
"ENSG00000125551",-0.836639247754454,1.32098941920137e-09
"ENSG00000171611",-0.836073143141857,1.38797318886762e-09
"ENSG00000188674",-0.834680553780164,1.5663273277975e-09
"ENSG00000076662",-0.832303210491239,1.92045251838461e-09
"ENSG00000139737",-0.832038615804149,1.96413316254747e-09
"ENSG00000167895",-0.83190720485984,1.98616641178012e-09
"ENSG00000123338",-0.831541048795692,2.04876820789661e-09
"ENSG00000015285",-0.830812909632149,2.17870607738668e-09
"ENSG00000184434",-0.830680793402493,2.20308251940319e-09
"ENSG00000055957",-0.830567841571275,2.22412237863318e-09
"ENSG00000146926",-0.830158005856202,4.19443096678474e-09
"ENSG00000134760",-0.830011507275593,2.33048601566696e-09
"ENSG00000162267",-0.829678174686331,2.39644425064252e-09
"ENSG00000125910",-0.828996093185485,2.53681497045463e-09
"ENSG00000170476",-0.828206475108927,2.70877693284195e-09
"ENSG00000186074",-0.824932509680897,3.54294456370494e-09
"ENSG00000066405",-0.824669574501278,3.61929408310335e-09
"ENSG00000081051",-0.824584093646264,6.54388934830229e-09
"ENSG00000112337",-0.824528731480793,3.66081281244492e-09
"ENSG00000149781",-0.822681594161142,4.24758767896147e-09
"ENSG00000180353",-0.820612769746716,5.00706554199654e-09
"ENSG00000178172",-0.819589589506982,5.42726784736371e-09
"ENSG00000015520",-0.819094436042454,5.64208410028437e-09
"ENSG00000075884",-0.818999945898591,5.68395778712295e-09
"ENSG00000175946",-0.818617095112664,5.85656946068009e-09
"ENSG00000243480",-0.818364456817137,5.97310702061082e-09
"ENSG00000167476",-0.816525574764027,6.8879690272364e-09
"ENSG00000080618",-0.814958566985432,7.76771686410086e-09
"ENSG00000175329",-0.81494556354801,7.77543200127089e-09
"ENSG00000213417",-0.812789129957158,9.15720943252004e-09
"ENSG00000143199",-0.812746571022873,9.18662572438079e-09
"ENSG00000164411",-0.812343329415505,9.46969542495502e-09
"ENSG00000122122",-0.812163712626612,9.59835275791243e-09
"ENSG00000219073",-0.811917805972287,9.77710563465335e-09
"ENSG00000143627",-0.811768858987794,9.88686366310567e-09
"ENSG00000167613",-0.811359156999229,1.01946538389638e-08
"ENSG00000115085",-0.811149686073664,1.03554078739991e-08
"ENSG00000145826",-0.81088371680438,1.05628855556801e-08
