Ensembl,Transcript,Gene,Chromosome,TSS_start,Base,TSS_end,Strand
ENSG00000186092,ENST00000335137,OR4F5,chr1,68591,69091,69591,+
ENSG00000237683,ENST00000423372,AL627309.1,chr1,138880,139380,139880,-
ENSG00000235249,ENST00000426406,OR4F29,chr1,367140,367640,368140,+
ENSG00000273547,ENST00000332831,OR4F16,chr1,621535,622035,622535,-
ENSG00000269831,ENST00000599533,AL669831.1,chr1,738638,739138,739638,-
ENSG00000269308,ENST00000594233,AL645608.2,chr1,817543,818043,818543,+
ENSG00000187634,ENST00000342066,SAMD11,chr1,860618,861118,861618,+
ENSG00000268179,ENST00000598827,AL645608.1,chr1,865946,866446,866946,-
ENSG00000188976,ENST00000327044,NOC2L,chr1,894171,894671,895171,-
ENSG00000187961,ENST00000338591,KLHL17,chr1,895467,895967,896467,+
ENSG00000187583,ENST00000379410,PLEKHN1,chr1,901377,901877,902377,+
ENSG00000187642,ENST00000433179,PERM1,chr1,915910,916410,916910,-
ENSG00000188290,ENST00000304952,HES4,chr1,934992,935492,935992,-
ENSG00000187608,ENST00000379389,ISG15,chr1,948303,948803,949303,+
ENSG00000188157,ENST00000379370,AGRN,chr1,955003,955503,956003,+
ENSG00000237330,ENST00000453464,RNF223,chr1,1009188,1009688,1010188,-
ENSG00000131591,ENST00000421241,C1orf159,chr1,1050979,1051479,1051979,-
ENSG00000162571,ENST00000379290,TTLL10,chr1,1108783,1109283,1109783,+
ENSG00000186891,ENST00000328596,TNFRSF18,chr1,1141452,1141952,1142452,-
ENSG00000186827,ENST00000379236,TNFRSF4,chr1,1149013,1149513,1150013,-
ENSG00000078808,ENST00000263741,SDF4,chr1,1166912,1167412,1167912,-
ENSG00000176022,ENST00000379198,B3GALT6,chr1,1167145,1167645,1168145,+
ENSG00000184163,ENST00000330388,FAM132A,chr1,1181603,1182103,1182603,-
ENSG00000160087,ENST00000349431,UBE2J2,chr1,1208766,1209266,1209766,-
ENSG00000162572,ENST00000379116,SCNN1D,chr1,1215316,1215816,1216316,+
ENSG00000131584,ENST00000354700,ACAP3,chr1,1242899,1243399,1243899,-
ENSG00000169972,ENST00000379031,PUSL1,chr1,1243447,1243947,1244447,+
ENSG00000127054,ENST00000435064,CPSF3L,chr1,1259572,1260072,1260572,-
ENSG00000224051,ENST00000343938,CPTP,chr1,1259647,1260147,1260647,+
ENSG00000169962,ENST00000339381,TAS1R3,chr1,1266194,1266694,1267194,+
ENSG00000107404,ENST00000378891,DVL1,chr1,1283993,1284493,1284993,-
ENSG00000162576,ENST00000309212,MXRA8,chr1,1293416,1293916,1294416,-
ENSG00000175756,ENST00000338370,AURKAIP1,chr1,1310038,1310538,1311038,-
ENSG00000221978,ENST00000400809,CCNL2,chr1,1334193,1334693,1335193,-
ENSG00000242485,ENST00000344843,MRPL20,chr1,1342194,1342694,1343194,-
ENSG00000235098,ENST00000537107,ANKRD65,chr1,1356325,1356825,1357325,-
ENSG00000205116,ENST00000378821,TMEM88B,chr1,1361008,1361508,1362008,+
ENSG00000179403,ENST00000476993,VWA1,chr1,1370551,1371051,1371551,+
ENSG00000215915,ENST00000378785,ATAD3C,chr1,1384569,1385069,1385569,+
ENSG00000160072,ENST00000308647,ATAD3B,chr1,1406649,1407149,1407649,+
ENSG00000197785,ENST00000378756,ATAD3A,chr1,1447031,1447531,1448031,+
ENSG00000205090,ENST00000378733,TMEM240,chr1,1475238,1475738,1476238,-
ENSG00000160075,ENST00000291386,SSU72,chr1,1509750,1510250,1510750,-
ENSG00000228594,ENST00000422725,FNDC10,chr1,1534977,1535477,1535977,-
ENSG00000197530,ENST00000505820,MIB2,chr1,1550323,1550823,1551323,+
ENSG00000189409,ENST00000356026,MMP23B,chr1,1566974,1567474,1567974,+
ENSG00000248333,ENST00000407249,CDK11B,chr1,1589974,1590474,1590974,-
ENSG00000189339,ENST00000617444,SLC35E2B,chr1,1623584,1624084,1624584,-
ENSG00000008128,ENST00000404249,CDK11A,chr1,1655264,1655764,1656264,-
ENSG00000215790,ENST00000246421,SLC35E2,chr1,1676932,1677432,1677932,-
ENSG00000008130,ENST00000341426,NADK,chr1,1709410,1709910,1710410,-
ENSG00000078369,ENST00000610897,GNB1,chr1,1822057,1822557,1823057,-
ENSG00000169885,ENST00000307786,CALML6,chr1,1845766,1846266,1846766,+
ENSG00000178821,ENST00000310991,TMEM52,chr1,1850213,1850713,1851213,-
ENSG00000142609,ENST00000493964,CFAP74,chr1,1934777,1935277,1935777,-
ENSG00000187730,ENST00000378585,GABRD,chr1,1950263,1950763,1951263,+
ENSG00000067606,ENST00000378567,PRKCZ,chr1,1981409,1981909,1982409,+
ENSG00000269554,ENST00000597060,AL590822.2,chr1,2120737,2121237,2121737,+
ENSG00000162585,ENST00000378546,FAAP20,chr1,2125714,2126214,2126714,-
ENSG00000203301,ENST00000545087,AL590822.1,chr1,2145121,2145621,2146121,-
ENSG00000157933,ENST00000378536,SKI,chr1,2159634,2160134,2160634,+
ENSG00000269753,ENST00000600779,AL589739.1,chr1,2258081,2258581,2259081,+
ENSG00000116151,ENST00000378531,MORN1,chr1,2322647,2323147,2323647,-
ENSG00000157916,ENST00000605895,RER1,chr1,2322772,2323272,2323772,+
ENSG00000157911,ENST00000447513,PEX10,chr1,2343511,2344011,2344511,-
ENSG00000149527,ENST00000378486,PLCH2,chr1,2407254,2407754,2408254,+
ENSG00000157881,ENST00000378466,PANK4,chr1,2457568,2458068,2458568,-
ENSG00000197921,ENST00000378453,HES5,chr1,2461185,2461685,2462185,-
ENSG00000157873,ENST00000355716,TNFRSF14,chr1,2487305,2487805,2488305,+
ENSG00000157870,ENST00000419916,FAM213B,chr1,2517714,2518214,2518714,+
ENSG00000142606,ENST00000378412,MMEL1,chr1,2563930,2564430,2564930,-
ENSG00000215912,ENST00000401095,TTC34,chr1,2717783,2718283,2718783,-
ENSG00000169717,ENST00000378404,ACTRT2,chr1,2937547,2938047,2938547,+
ENSG00000142611,ENST00000270722,PRDM16,chr1,2985275,2985775,2986275,+
ENSG00000130762,ENST00000378378,ARHGEF16,chr1,3370490,3370990,3371490,+
ENSG00000162591,ENST00000356575,MEGF6,chr1,3527560,3528060,3528560,-
ENSG00000158109,ENST00000378344,TPRG1L,chr1,3541066,3541566,3542066,+
ENSG00000116213,ENST00000270708,WRAP73,chr1,3566138,3566638,3567138,-
ENSG00000078900,ENST00000378295,TP73,chr1,3568584,3569084,3569584,+
ENSG00000162592,ENST00000294600,CCDC27,chr1,3668462,3668962,3669462,+
ENSG00000235169,ENST00000444870,SMIM1,chr1,3688852,3689352,3689852,+
ENSG00000130764,ENST00000378251,LRRC47,chr1,3712569,3713069,3713569,-
ENSG00000116198,ENST00000378230,CEP104,chr1,3773264,3773764,3774264,-
ENSG00000169598,ENST00000378209,DFFB,chr1,3773345,3773845,3774345,+
ENSG00000198912,ENST00000361605,C1orf174,chr1,3816350,3816850,3817350,-
ENSG00000196581,ENST00000378191,AJAP1,chr1,4714605,4715105,4715605,+
ENSG00000131697,ENST00000378156,NPHP4,chr1,6052032,6052532,6053032,-
ENSG00000069424,ENST00000164247,KCNAB2,chr1,6093843,6094343,6094843,+
ENSG00000268332,ENST00000594544,AL035406.1,chr1,6100900,6101400,6101900,-
ENSG00000116254,ENST00000262450,CHD5,chr1,6239684,6240184,6240684,-
ENSG00000116251,ENST00000234875,RPL22,chr1,6259173,6259673,6260173,-
ENSG00000158286,ENST00000377939,RNF207,chr1,6265736,6266236,6266736,+
ENSG00000116237,ENST00000343813,ICMT,chr1,6295501,6296001,6296501,-
ENSG00000173673,ENST00000377898,HES3,chr1,6303752,6304252,6304752,+
ENSG00000158292,ENST00000377893,GPR153,chr1,6320536,6321036,6321536,-
ENSG00000097021,ENST00000377855,ACOT7,chr1,6445374,6445874,6446374,-
ENSG00000069812,ENST00000377834,HES2,chr1,6479480,6479980,6480480,-
ENSG00000187017,ENST00000377828,ESPN,chr1,6484348,6484848,6485348,+
ENSG00000215788,ENST00000377782,TNFRSF25,chr1,6525736,6526236,6526736,-
ENSG00000171680,ENST00000340850,PLEKHG5,chr1,6550141,6550641,6551141,-
ENSG00000162408,ENST00000377705,NOL9,chr1,6614096,6614596,6615096,-
